feature,importance_mean,importance_std,model_name,task,animal_subset,split_strategy,train_period,validation_period,test_period,feature_set,random_state,run_timestamp,train_rows,validation_rows,test_rows,artifact_path
is_address_like_location,-0.07792207792207795,0.0,hist_gradient_boosting,classification,dogs,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,215,45,18,tmp_models\classification\dogs\hist_gradient_boosting.joblib
age_days,-0.09090909090909083,0.0,hist_gradient_boosting,classification,dogs,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,215,45,18,tmp_models\classification\dogs\hist_gradient_boosting.joblib
is_named,0.09090909090909094,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
intake_month,0.06060606060606066,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
sex_upon_intake,0.05303030303030298,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
age_days,0.05303030303030298,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
is_address_like_location,0.030303030303030276,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
intake_type,0.007575757575757569,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
age_group,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
intake_year,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
primary_breed,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
animal_type,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
is_mixed_breed,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
is_outside_jurisdiction,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
is_austin_found_location,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
found_location_area,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
simplified_breed_group,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
covid_period,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
is_intersection_location,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
is_airport_location,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
primary_color,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
is_black_or_dark,0.0,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
found_location_kind,-0.0037878787878787845,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
intake_condition,-0.007575757575757569,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
simplified_color_group,-0.015151515151515138,0.0,hist_gradient_boosting,classification,cats,time,2013-2021,2022-2023,2024-2025,intake_time_v2,42,now,164,35,23,tmp_models\classification\cats\hist_gradient_boosting.joblib
